"","date","variable","value"
"576",1967-08-01,"uempmed",4.7
"577",1967-09-01,"uempmed",4.6
"578",1967-10-01,"uempmed",4.9
"579",1967-11-01,"uempmed",4.7
"580",1967-12-01,"uempmed",4.8
"581",1968-01-01,"uempmed",5.1
"582",1968-02-01,"uempmed",4.5
"583",1968-03-01,"uempmed",4.1
"584",1968-04-01,"uempmed",4.6
"585",1968-05-01,"uempmed",4.4
"586",1968-06-01,"uempmed",4.4
"587",1968-07-01,"uempmed",4.5
"588",1968-08-01,"uempmed",4.2
"589",1968-09-01,"uempmed",4.6
"590",1968-10-01,"uempmed",4.8
"591",1968-11-01,"uempmed",4.4
"592",1968-12-01,"uempmed",4.4
"593",1969-01-01,"uempmed",4.4
"594",1969-02-01,"uempmed",4.9
"595",1969-03-01,"uempmed",4
"596",1969-04-01,"uempmed",4
"597",1969-05-01,"uempmed",4.2
"598",1969-06-01,"uempmed",4.4
"599",1969-07-01,"uempmed",4.4
"600",1969-08-01,"uempmed",4.4
"601",1969-09-01,"uempmed",4.7
"602",1969-10-01,"uempmed",4.5
"603",1969-11-01,"uempmed",4.8
"604",1969-12-01,"uempmed",4.6
"605",1970-01-01,"uempmed",4.6
"606",1970-02-01,"uempmed",4.5
"607",1970-03-01,"uempmed",4.6
"608",1970-04-01,"uempmed",4.1
"609",1970-05-01,"uempmed",4.7
"610",1970-06-01,"uempmed",4.9
"611",1970-07-01,"uempmed",5.1
"612",1970-08-01,"uempmed",5.4
"613",1970-09-01,"uempmed",5.2
"614",1970-10-01,"uempmed",5.2
"615",1970-11-01,"uempmed",5.6
"616",1970-12-01,"uempmed",5.9
"617",1971-01-01,"uempmed",6.2
"618",1971-02-01,"uempmed",6.3
"619",1971-03-01,"uempmed",6.4
"620",1971-04-01,"uempmed",6.5
"621",1971-05-01,"uempmed",6.7
"622",1971-06-01,"uempmed",5.7
"623",1971-07-01,"uempmed",6.2
"624",1971-08-01,"uempmed",6.4
"625",1971-09-01,"uempmed",5.8
"626",1971-10-01,"uempmed",6.5
"627",1971-11-01,"uempmed",6.4
"628",1971-12-01,"uempmed",6.2
"629",1972-01-01,"uempmed",6.2
"630",1972-02-01,"uempmed",6.6
"631",1972-03-01,"uempmed",6.6
"632",1972-04-01,"uempmed",6.7
"633",1972-05-01,"uempmed",6.6
"634",1972-06-01,"uempmed",5.4
"635",1972-07-01,"uempmed",6.1
"636",1972-08-01,"uempmed",6
"637",1972-09-01,"uempmed",5.6
"638",1972-10-01,"uempmed",5.7
"639",1972-11-01,"uempmed",5.7
"640",1972-12-01,"uempmed",6.1
"641",1973-01-01,"uempmed",5.7
"642",1973-02-01,"uempmed",5.2
"643",1973-03-01,"uempmed",5.5
"644",1973-04-01,"uempmed",5
"645",1973-05-01,"uempmed",4.9
"646",1973-06-01,"uempmed",5
"647",1973-07-01,"uempmed",5.2
"648",1973-08-01,"uempmed",4.9
"649",1973-09-01,"uempmed",5.4
"650",1973-10-01,"uempmed",5.5
"651",1973-11-01,"uempmed",5.1
"652",1973-12-01,"uempmed",4.7
"653",1974-01-01,"uempmed",5
"654",1974-02-01,"uempmed",5.1
"655",1974-03-01,"uempmed",4.8
"656",1974-04-01,"uempmed",5
"657",1974-05-01,"uempmed",4.6
"658",1974-06-01,"uempmed",5.3
"659",1974-07-01,"uempmed",5.7
"660",1974-08-01,"uempmed",5
"661",1974-09-01,"uempmed",5.3
"662",1974-10-01,"uempmed",5.5
"663",1974-11-01,"uempmed",5.2
"664",1974-12-01,"uempmed",5.7
"665",1975-01-01,"uempmed",6.3
"666",1975-02-01,"uempmed",7.1
"667",1975-03-01,"uempmed",7.2
"668",1975-04-01,"uempmed",8.7
"669",1975-05-01,"uempmed",9.4
"670",1975-06-01,"uempmed",8.8
"671",1975-07-01,"uempmed",8.6
"672",1975-08-01,"uempmed",9.2
"673",1975-09-01,"uempmed",9.2
"674",1975-10-01,"uempmed",8.6
"675",1975-11-01,"uempmed",9.5
"676",1975-12-01,"uempmed",9
"677",1976-01-01,"uempmed",9
"678",1976-02-01,"uempmed",8.2
"679",1976-03-01,"uempmed",8.7
"680",1976-04-01,"uempmed",8.2
"681",1976-05-01,"uempmed",8.3
"682",1976-06-01,"uempmed",7.8
"683",1976-07-01,"uempmed",7.7
"684",1976-08-01,"uempmed",7.9
"685",1976-09-01,"uempmed",7.8
"686",1976-10-01,"uempmed",7.7
"687",1976-11-01,"uempmed",8.4
"688",1976-12-01,"uempmed",8
"689",1977-01-01,"uempmed",7.5
"690",1977-02-01,"uempmed",7.2
"691",1977-03-01,"uempmed",7.2
"692",1977-04-01,"uempmed",7.3
"693",1977-05-01,"uempmed",7.9
"694",1977-06-01,"uempmed",6.2
"695",1977-07-01,"uempmed",7.1
"696",1977-08-01,"uempmed",7
"697",1977-09-01,"uempmed",6.7
"698",1977-10-01,"uempmed",6.9
"699",1977-11-01,"uempmed",7
"700",1977-12-01,"uempmed",6.8
"701",1978-01-01,"uempmed",6.5
"702",1978-02-01,"uempmed",6.7
"703",1978-03-01,"uempmed",6.2
"704",1978-04-01,"uempmed",6.1
"705",1978-05-01,"uempmed",5.7
"706",1978-06-01,"uempmed",6
"707",1978-07-01,"uempmed",5.8
"708",1978-08-01,"uempmed",5.8
"709",1978-09-01,"uempmed",5.6
"710",1978-10-01,"uempmed",5.9
"711",1978-11-01,"uempmed",5.5
"712",1978-12-01,"uempmed",5.6
"713",1979-01-01,"uempmed",5.9
"714",1979-02-01,"uempmed",5.9
"715",1979-03-01,"uempmed",5.9
"716",1979-04-01,"uempmed",5.4
"717",1979-05-01,"uempmed",5.6
"718",1979-06-01,"uempmed",5.6
"719",1979-07-01,"uempmed",5.9
"720",1979-08-01,"uempmed",4.8
"721",1979-09-01,"uempmed",5.5
"722",1979-10-01,"uempmed",5.5
"723",1979-11-01,"uempmed",5.3
"724",1979-12-01,"uempmed",5.7
"725",1980-01-01,"uempmed",5.3
"726",1980-02-01,"uempmed",5.8
"727",1980-03-01,"uempmed",6
"728",1980-04-01,"uempmed",5.8
"729",1980-05-01,"uempmed",5.7
"730",1980-06-01,"uempmed",6.4
"731",1980-07-01,"uempmed",7
"732",1980-08-01,"uempmed",7.5
"733",1980-09-01,"uempmed",7.7
"734",1980-10-01,"uempmed",7.5
"735",1980-11-01,"uempmed",7.7
"736",1980-12-01,"uempmed",7.5
"737",1981-01-01,"uempmed",7.4
"738",1981-02-01,"uempmed",7.1
"739",1981-03-01,"uempmed",7.1
"740",1981-04-01,"uempmed",7.4
"741",1981-05-01,"uempmed",6.9
"742",1981-06-01,"uempmed",6.6
"743",1981-07-01,"uempmed",7.1
"744",1981-08-01,"uempmed",7.2
"745",1981-09-01,"uempmed",6.8
"746",1981-10-01,"uempmed",6.8
"747",1981-11-01,"uempmed",6.9
"748",1981-12-01,"uempmed",6.9
"749",1982-01-01,"uempmed",7.1
"750",1982-02-01,"uempmed",7.5
"751",1982-03-01,"uempmed",7.7
"752",1982-04-01,"uempmed",8.1
"753",1982-05-01,"uempmed",8.5
"754",1982-06-01,"uempmed",9.5
"755",1982-07-01,"uempmed",8.5
"756",1982-08-01,"uempmed",8.7
"757",1982-09-01,"uempmed",9.5
"758",1982-10-01,"uempmed",9.7
"759",1982-11-01,"uempmed",10
"760",1982-12-01,"uempmed",10.2
"761",1983-01-01,"uempmed",11.1
"762",1983-02-01,"uempmed",9.8
"763",1983-03-01,"uempmed",10.4
"764",1983-04-01,"uempmed",10.9
"765",1983-05-01,"uempmed",12.3
"766",1983-06-01,"uempmed",11.3
"767",1983-07-01,"uempmed",10.1
"768",1983-08-01,"uempmed",9.3
"769",1983-09-01,"uempmed",9.3
"770",1983-10-01,"uempmed",9.4
"771",1983-11-01,"uempmed",9.3
"772",1983-12-01,"uempmed",8.7
"773",1984-01-01,"uempmed",9.1
"774",1984-02-01,"uempmed",8.3
"775",1984-03-01,"uempmed",8.3
"776",1984-04-01,"uempmed",8.2
"777",1984-05-01,"uempmed",9.1
"778",1984-06-01,"uempmed",7.5
"779",1984-07-01,"uempmed",7.5
"780",1984-08-01,"uempmed",7.3
"781",1984-09-01,"uempmed",7.6
"782",1984-10-01,"uempmed",7.2
"783",1984-11-01,"uempmed",7.2
"784",1984-12-01,"uempmed",7.3
"785",1985-01-01,"uempmed",6.8
"786",1985-02-01,"uempmed",7.1
"787",1985-03-01,"uempmed",7.1
"788",1985-04-01,"uempmed",6.9
"789",1985-05-01,"uempmed",6.9
"790",1985-06-01,"uempmed",6.6
"791",1985-07-01,"uempmed",6.9
"792",1985-08-01,"uempmed",7.1
"793",1985-09-01,"uempmed",6.9
"794",1985-10-01,"uempmed",7.1
"795",1985-11-01,"uempmed",7
"796",1985-12-01,"uempmed",6.8
"797",1986-01-01,"uempmed",6.7
"798",1986-02-01,"uempmed",6.9
"799",1986-03-01,"uempmed",6.8
"800",1986-04-01,"uempmed",6.7
"801",1986-05-01,"uempmed",6.8
"802",1986-06-01,"uempmed",7
"803",1986-07-01,"uempmed",6.9
"804",1986-08-01,"uempmed",7.1
"805",1986-09-01,"uempmed",7.4
"806",1986-10-01,"uempmed",7
"807",1986-11-01,"uempmed",7.1
"808",1986-12-01,"uempmed",7.1
"809",1987-01-01,"uempmed",6.9
"810",1987-02-01,"uempmed",6.6
"811",1987-03-01,"uempmed",6.6
"812",1987-04-01,"uempmed",7.1
"813",1987-05-01,"uempmed",6.6
"814",1987-06-01,"uempmed",6.5
"815",1987-07-01,"uempmed",6.5
"816",1987-08-01,"uempmed",6.4
"817",1987-09-01,"uempmed",6
"818",1987-10-01,"uempmed",6.3
"819",1987-11-01,"uempmed",6.2
"820",1987-12-01,"uempmed",6
"821",1988-01-01,"uempmed",6.2
"822",1988-02-01,"uempmed",6.3
"823",1988-03-01,"uempmed",6.4
"824",1988-04-01,"uempmed",5.9
"825",1988-05-01,"uempmed",5.9
"826",1988-06-01,"uempmed",5.8
"827",1988-07-01,"uempmed",6.1
"828",1988-08-01,"uempmed",5.9
"829",1988-09-01,"uempmed",5.7
"830",1988-10-01,"uempmed",5.6
"831",1988-11-01,"uempmed",5.7
"832",1988-12-01,"uempmed",5.9
"833",1989-01-01,"uempmed",5.6
"834",1989-02-01,"uempmed",5.4
"835",1989-03-01,"uempmed",5.4
"836",1989-04-01,"uempmed",5.4
"837",1989-05-01,"uempmed",5.3
"838",1989-06-01,"uempmed",5.4
"839",1989-07-01,"uempmed",5.6
"840",1989-08-01,"uempmed",5
"841",1989-09-01,"uempmed",4.9
"842",1989-10-01,"uempmed",4.9
"843",1989-11-01,"uempmed",4.8
"844",1989-12-01,"uempmed",4.9
"845",1990-01-01,"uempmed",5.1
"846",1990-02-01,"uempmed",5.3
"847",1990-03-01,"uempmed",5.1
"848",1990-04-01,"uempmed",4.8
"849",1990-05-01,"uempmed",5.2
"850",1990-06-01,"uempmed",5.2
"851",1990-07-01,"uempmed",5.4
"852",1990-08-01,"uempmed",5.4
"853",1990-09-01,"uempmed",5.6
"854",1990-10-01,"uempmed",5.8
"855",1990-11-01,"uempmed",5.7
"856",1990-12-01,"uempmed",5.9
"857",1991-01-01,"uempmed",6
"858",1991-02-01,"uempmed",6.2
"859",1991-03-01,"uempmed",6.7
"860",1991-04-01,"uempmed",6.6
"861",1991-05-01,"uempmed",6.4
"862",1991-06-01,"uempmed",6.9
"863",1991-07-01,"uempmed",7
"864",1991-08-01,"uempmed",7.3
"865",1991-09-01,"uempmed",6.8
"866",1991-10-01,"uempmed",7.2
"867",1991-11-01,"uempmed",7.5
"868",1991-12-01,"uempmed",7.8
"869",1992-01-01,"uempmed",8.1
"870",1992-02-01,"uempmed",8.2
"871",1992-03-01,"uempmed",8.3
"872",1992-04-01,"uempmed",8.5
"873",1992-05-01,"uempmed",8.8
"874",1992-06-01,"uempmed",8.7
"875",1992-07-01,"uempmed",8.6
"876",1992-08-01,"uempmed",8.8
"877",1992-09-01,"uempmed",8.6
"878",1992-10-01,"uempmed",9
"879",1992-11-01,"uempmed",9
"880",1992-12-01,"uempmed",9.3
"881",1993-01-01,"uempmed",8.6
"882",1993-02-01,"uempmed",8.5
"883",1993-03-01,"uempmed",8.5
"884",1993-04-01,"uempmed",8.4
"885",1993-05-01,"uempmed",8.1
"886",1993-06-01,"uempmed",8.3
"887",1993-07-01,"uempmed",8.2
"888",1993-08-01,"uempmed",8.2
"889",1993-09-01,"uempmed",8.3
"890",1993-10-01,"uempmed",8
"891",1993-11-01,"uempmed",8.3
"892",1993-12-01,"uempmed",8.3
"893",1994-01-01,"uempmed",8.6
"894",1994-02-01,"uempmed",9.2
"895",1994-03-01,"uempmed",9.3
"896",1994-04-01,"uempmed",9.1
"897",1994-05-01,"uempmed",9.2
"898",1994-06-01,"uempmed",9.3
"899",1994-07-01,"uempmed",9
"900",1994-08-01,"uempmed",8.9
"901",1994-09-01,"uempmed",9.2
"902",1994-10-01,"uempmed",10
"903",1994-11-01,"uempmed",9
"904",1994-12-01,"uempmed",8.7
"905",1995-01-01,"uempmed",8
"906",1995-02-01,"uempmed",8.1
"907",1995-03-01,"uempmed",8.3
"908",1995-04-01,"uempmed",8.3
"909",1995-05-01,"uempmed",9.1
"910",1995-06-01,"uempmed",7.9
"911",1995-07-01,"uempmed",8.5
"912",1995-08-01,"uempmed",8.3
"913",1995-09-01,"uempmed",7.9
"914",1995-10-01,"uempmed",8.2
"915",1995-11-01,"uempmed",8
"916",1995-12-01,"uempmed",8.3
"917",1996-01-01,"uempmed",8.3
"918",1996-02-01,"uempmed",7.8
"919",1996-03-01,"uempmed",8.3
"920",1996-04-01,"uempmed",8.6
"921",1996-05-01,"uempmed",8.6
"922",1996-06-01,"uempmed",8.3
"923",1996-07-01,"uempmed",8.3
"924",1996-08-01,"uempmed",8.4
"925",1996-09-01,"uempmed",8.5
"926",1996-10-01,"uempmed",8.3
"927",1996-11-01,"uempmed",7.7
"928",1996-12-01,"uempmed",7.8
"929",1997-01-01,"uempmed",7.8
"930",1997-02-01,"uempmed",8.1
"931",1997-03-01,"uempmed",7.9
"932",1997-04-01,"uempmed",8.3
"933",1997-05-01,"uempmed",8
"934",1997-06-01,"uempmed",8
"935",1997-07-01,"uempmed",8.3
"936",1997-08-01,"uempmed",7.8
"937",1997-09-01,"uempmed",8.2
"938",1997-10-01,"uempmed",7.7
"939",1997-11-01,"uempmed",7.6
"940",1997-12-01,"uempmed",7.5
"941",1998-01-01,"uempmed",7.4
"942",1998-02-01,"uempmed",7
"943",1998-03-01,"uempmed",6.8
"944",1998-04-01,"uempmed",6.7
"945",1998-05-01,"uempmed",6
"946",1998-06-01,"uempmed",6.9
"947",1998-07-01,"uempmed",6.7
"948",1998-08-01,"uempmed",6.8
"949",1998-09-01,"uempmed",6.7
"950",1998-10-01,"uempmed",5.8
"951",1998-11-01,"uempmed",6.6
"952",1998-12-01,"uempmed",6.8
"953",1999-01-01,"uempmed",6.9
"954",1999-02-01,"uempmed",6.8
"955",1999-03-01,"uempmed",6.8
"956",1999-04-01,"uempmed",6.2
"957",1999-05-01,"uempmed",6.5
"958",1999-06-01,"uempmed",6.3
"959",1999-07-01,"uempmed",5.8
"960",1999-08-01,"uempmed",6.5
"961",1999-09-01,"uempmed",6
"962",1999-10-01,"uempmed",6.1
"963",1999-11-01,"uempmed",6.2
"964",1999-12-01,"uempmed",5.8
"965",2000-01-01,"uempmed",5.8
"966",2000-02-01,"uempmed",6.1
"967",2000-03-01,"uempmed",6
"968",2000-04-01,"uempmed",6.1
"969",2000-05-01,"uempmed",5.8
"970",2000-06-01,"uempmed",5.7
"971",2000-07-01,"uempmed",6
"972",2000-08-01,"uempmed",6.3
"973",2000-09-01,"uempmed",5.2
"974",2000-10-01,"uempmed",6.1
"975",2000-11-01,"uempmed",6.1
"976",2000-12-01,"uempmed",6
"977",2001-01-01,"uempmed",5.8
"978",2001-02-01,"uempmed",6.1
"979",2001-03-01,"uempmed",6.6
"980",2001-04-01,"uempmed",5.9
"981",2001-05-01,"uempmed",6.3
"982",2001-06-01,"uempmed",6
"983",2001-07-01,"uempmed",6.8
"984",2001-08-01,"uempmed",6.9
"985",2001-09-01,"uempmed",7.2
"986",2001-10-01,"uempmed",7.3
"987",2001-11-01,"uempmed",7.7
"988",2001-12-01,"uempmed",8.2
"989",2002-01-01,"uempmed",8.4
"990",2002-02-01,"uempmed",8.3
"991",2002-03-01,"uempmed",8.4
"992",2002-04-01,"uempmed",8.9
"993",2002-05-01,"uempmed",9.5
"994",2002-06-01,"uempmed",11
"995",2002-07-01,"uempmed",8.9
"996",2002-08-01,"uempmed",9
"997",2002-09-01,"uempmed",9.5
"998",2002-10-01,"uempmed",9.6
"999",2002-11-01,"uempmed",9.3
"1000",2002-12-01,"uempmed",9.6
"1001",2003-01-01,"uempmed",9.6
"1002",2003-02-01,"uempmed",9.5
"1003",2003-03-01,"uempmed",9.7
"1004",2003-04-01,"uempmed",10.2
"1005",2003-05-01,"uempmed",9.9
"1006",2003-06-01,"uempmed",11.5
"1007",2003-07-01,"uempmed",10.3
"1008",2003-08-01,"uempmed",10.1
"1009",2003-09-01,"uempmed",10.2
"1010",2003-10-01,"uempmed",10.4
"1011",2003-11-01,"uempmed",10.3
"1012",2003-12-01,"uempmed",10.4
"1013",2004-01-01,"uempmed",10.6
"1014",2004-02-01,"uempmed",10.2
"1015",2004-03-01,"uempmed",10.2
"1016",2004-04-01,"uempmed",9.5
"1017",2004-05-01,"uempmed",9.9
"1018",2004-06-01,"uempmed",11
"1019",2004-07-01,"uempmed",8.9
"1020",2004-08-01,"uempmed",9.2
"1021",2004-09-01,"uempmed",9.6
"1022",2004-10-01,"uempmed",9.5
"1023",2004-11-01,"uempmed",9.7
"1024",2004-12-01,"uempmed",9.5
"1025",2005-01-01,"uempmed",9.4
"1026",2005-02-01,"uempmed",9.2
"1027",2005-03-01,"uempmed",9.3
"1028",2005-04-01,"uempmed",9
"1029",2005-05-01,"uempmed",9.1
"1030",2005-06-01,"uempmed",9
"1031",2005-07-01,"uempmed",8.8
"1032",2005-08-01,"uempmed",9.2
"1033",2005-09-01,"uempmed",8.4
"1034",2005-10-01,"uempmed",8.6
"1035",2005-11-01,"uempmed",8.5
"1036",2005-12-01,"uempmed",8.7
"1037",2006-01-01,"uempmed",8.6
"1038",2006-02-01,"uempmed",9.1
"1039",2006-03-01,"uempmed",8.7
"1040",2006-04-01,"uempmed",8.4
"1041",2006-05-01,"uempmed",8.5
"1042",2006-06-01,"uempmed",7.3
"1043",2006-07-01,"uempmed",8
"1044",2006-08-01,"uempmed",8.4
"1045",2006-09-01,"uempmed",8
"1046",2006-10-01,"uempmed",7.9
"1047",2006-11-01,"uempmed",8.3
"1048",2006-12-01,"uempmed",7.5
"1049",2007-01-01,"uempmed",8.3
"1050",2007-02-01,"uempmed",8.5
"1051",2007-03-01,"uempmed",9.1
"1052",2007-04-01,"uempmed",8.6
"1053",2007-05-01,"uempmed",8.2
"1054",2007-06-01,"uempmed",7.7
"1055",2007-07-01,"uempmed",8.7
"1056",2007-08-01,"uempmed",8.8
"1057",2007-09-01,"uempmed",8.7
"1058",2007-10-01,"uempmed",8.4
"1059",2007-11-01,"uempmed",8.6
"1060",2007-12-01,"uempmed",8.4
"1061",2008-01-01,"uempmed",9
"1062",2008-02-01,"uempmed",8.7
"1063",2008-03-01,"uempmed",8.7
"1064",2008-04-01,"uempmed",9.4
"1065",2008-05-01,"uempmed",7.9
"1066",2008-06-01,"uempmed",9
"1067",2008-07-01,"uempmed",9.7
"1068",2008-08-01,"uempmed",9.7
"1069",2008-09-01,"uempmed",10.2
"1070",2008-10-01,"uempmed",10.4
"1071",2008-11-01,"uempmed",9.8
"1072",2008-12-01,"uempmed",10.5
"1073",2009-01-01,"uempmed",10.7
"1074",2009-02-01,"uempmed",11.7
"1075",2009-03-01,"uempmed",12.3
"1076",2009-04-01,"uempmed",13.1
"1077",2009-05-01,"uempmed",14.2
"1078",2009-06-01,"uempmed",17.2
"1079",2009-07-01,"uempmed",16
"1080",2009-08-01,"uempmed",16.3
"1081",2009-09-01,"uempmed",17.8
"1082",2009-10-01,"uempmed",18.9
"1083",2009-11-01,"uempmed",19.8
"1084",2009-12-01,"uempmed",20.1
"1085",2010-01-01,"uempmed",20
"1086",2010-02-01,"uempmed",19.9
"1087",2010-03-01,"uempmed",20.4
"1088",2010-04-01,"uempmed",22.1
"1089",2010-05-01,"uempmed",22.3
"1090",2010-06-01,"uempmed",25.2
"1091",2010-07-01,"uempmed",22.3
"1092",2010-08-01,"uempmed",21
"1093",2010-09-01,"uempmed",20.3
"1094",2010-10-01,"uempmed",21.2
"1095",2010-11-01,"uempmed",21
"1096",2010-12-01,"uempmed",21.9
"1097",2011-01-01,"uempmed",21.5
"1098",2011-02-01,"uempmed",21.1
"1099",2011-03-01,"uempmed",21.5
"1100",2011-04-01,"uempmed",20.9
"1101",2011-05-01,"uempmed",21.6
"1102",2011-06-01,"uempmed",22.4
"1103",2011-07-01,"uempmed",22
"1104",2011-08-01,"uempmed",22.4
"1105",2011-09-01,"uempmed",22
"1106",2011-10-01,"uempmed",20.6
"1107",2011-11-01,"uempmed",20.8
"1108",2011-12-01,"uempmed",20.5
"1109",2012-01-01,"uempmed",20.8
"1110",2012-02-01,"uempmed",19.7
"1111",2012-03-01,"uempmed",19.2
"1112",2012-04-01,"uempmed",19.1
"1113",2012-05-01,"uempmed",19.9
"1114",2012-06-01,"uempmed",20.4
"1115",2012-07-01,"uempmed",17.5
"1116",2012-08-01,"uempmed",18.4
"1117",2012-09-01,"uempmed",18.8
"1118",2012-10-01,"uempmed",19.9
"1119",2012-11-01,"uempmed",18.6
"1120",2012-12-01,"uempmed",17.7
"1121",2013-01-01,"uempmed",15.8
"1122",2013-02-01,"uempmed",17.2
"1123",2013-03-01,"uempmed",17.6
"1124",2013-04-01,"uempmed",17.1
"1125",2013-05-01,"uempmed",17.1
"1126",2013-06-01,"uempmed",17
"1127",2013-07-01,"uempmed",16.2
"1128",2013-08-01,"uempmed",16.5
"1129",2013-09-01,"uempmed",16.5
"1130",2013-10-01,"uempmed",16.3
"1131",2013-11-01,"uempmed",17.1
"1132",2013-12-01,"uempmed",17.3
"1133",2014-01-01,"uempmed",15.4
"1134",2014-02-01,"uempmed",15.9
"1135",2014-03-01,"uempmed",15.8
"1136",2014-04-01,"uempmed",15.7
"1137",2014-05-01,"uempmed",14.6
"1138",2014-06-01,"uempmed",13.8
"1139",2014-07-01,"uempmed",13.1
"1140",2014-08-01,"uempmed",12.9
"1141",2014-09-01,"uempmed",13.4
"1142",2014-10-01,"uempmed",13.6
"1143",2014-11-01,"uempmed",13
"1144",2014-12-01,"uempmed",12.9
"1145",2015-01-01,"uempmed",13.2
"1146",2015-02-01,"uempmed",12.9
"1147",2015-03-01,"uempmed",12
"1148",2015-04-01,"uempmed",11.5
